UP-log2(FC)	UP-entry	UP-mgi_symbol	UP-refseq_mrna	UP-entrezgene	UP-description
4.52705730925145	160	Slc9a9	NM_177909	331004	solute carrier family 9 (sodium/hydrogen exchanger)
4.50168818408978	6828	Slc7a4	NM_144852	224022	solute carrier family 7 (cationic amino acid transporter
4.47493685600753	385	Ccnb1	NM_172301	268697	cyclin B1 [Source:MGI Symbol
4.45509367074059	4385	Pomgnt2	NM_001289559	215494	protein O-linked mannose beta 1
4.44677490447918	266	Mns1	0	17427	meiosis-specific nuclear structural protein 1 [Source:MGI Symbol
4.43274611945659	342	Sult1a1	0	20887	sulfotransferase family 1A
4.3943357011408	22	Pole	NM_011132	18973	polymerase (DNA directed)
4.33203829355873	80	Cmah	0	12763	cytidine monophospho-N-acetylneuraminic acid hydroxylase [Source:MGI Symbol
4.31777144158898	276	Bmf	NM_138313	171543	BCL2 modifying factor [Source:MGI Symbol
4.30666107282912	982	Cep55	NM_028293	74107	centrosomal protein 55 [Source:MGI Symbol
4.28555867677148	18	C4b	0	12268	complement component 4B (Chido blood group) [Source:MGI Symbol
4.28005412619102	132	Pros1	NM_011173	19128	protein S (alpha) [Source:MGI Symbol
4.26783148438283	4	Rnase6	NM_030098	78416	ribonuclease
4.25171342619038	755	Rogdi	NM_133185	66049	rogdi homolog [Source:MGI Symbol
4.24127152155289	5374	Rpl23a-ps3	0	NA	ribosomal protein L23A
4.21436417392385	85	Nusap1	NM_133851	108907	nucleolar and spindle associated protein 1 [Source:MGI Symbol
4.20222622436036	67	Aurkb	0	20877	aurora kinase B [Source:MGI Symbol
4.18918764660752	101	Anln	NM_028390	68743	anillin
4.1832644203336	507	Klk1b11	NM_010640	16613	kallikrein 1-related peptidase b11 [Source:MGI Symbol
4.17677625516267	193	Fgd2	0	26382	FYVE
4.16236529405044	350	Hist1h1a	NM_030609	80838	histone cluster 1
4.15903579173946	2228	Pgbd5	0	209966	piggyBac transposable element derived 5 [Source:MGI Symbol
4.14852586556944	2099	Klra3	NM_001289605	16634	killer cell lectin-like receptor
4.14754586332442	318	Matk	NM_001285855	17179	megakaryocyte-associated tyrosine kinase [Source:MGI Symbol
4.13202054148937	211	Tnfsf14	NM_019418	50930	tumor necrosis factor (ligand) superfamily
4.1236617372743	78	Ckap2l	NM_181589	70466	cytoskeleton associated protein 2-like [Source:MGI Symbol
4.11384509805493	170	Ticrr	NM_029835	77011	TOPBP1-interacting checkpoint and replication regulator [Source:MGI Symbol
4.11380045059509	1034	Lrmp	0	16970	lymphoid-restricted membrane protein [Source:MGI Symbol
4.11269700153951	1615	Rpl36a-ps2	0	NA	ribosomal protein L36A
4.10992858420612	1079	Hist1h2bm	NM_178200	319186	histone cluster 1
4.10744411983274	1058	Ccl6	NM_009139	20305	chemokine (C-C motif) ligand 6 [Source:MGI Symbol
4.09710851184268	1304	Abhd15	NM_026185	67477	abhydrolase domain containing 15 [Source:MGI Symbol
4.09180062925417	943	Tmem150b	NM_177887	330460	transmembrane protein 150B [Source:MGI Symbol
4.07672060531447	1097	Gm13456	0	NA	predicted gene 13456 [Source:MGI Symbol
4.07333239541728	6000	Tfap4	NM_031182	83383	transcription factor AP4 [Source:MGI Symbol
4.06875312561588	1213	Zfyve28	NM_001015039	231125	zinc finger
4.06485322479412	817	Rpl10a-ps1	0	NA	ribosomal protein L10A
4.05588984064049	157	Fcgrt	NM_010189	14132	Fc receptor
4.04971317672918	176	Abcg2	0	26357	ATP-binding cassette
4.04275861071954	10	Itga4	0	16401	integrin alpha 4 [Source:MGI Symbol
4.03253867600263	393	Fxyd2	NM_052823	11936	FXYD domain-containing ion transport regulator 2 [Source:MGI Symbol
4.02862875067083	172	Smagp	NM_001033872	207818	small cell adhesion glycoprotein [Source:MGI Symbol
4.02432597169128	344	Diaph3	0	56419	diaphanous related formin 3 [Source:MGI Symbol
4.01518129857696	198	Gatm	NM_025961	67092	glycine amidinotransferase (L-arginine:glycine amidinotransferase) [Source:MGI Symbol
4.00901062842281	441	Pcp4l1	NM_025557	66425	Purkinje cell protein 4-like 1 [Source:MGI Symbol
4.00355013579881	1972	Rnf144b	NM_146042	218215	ring finger protein 144B [Source:MGI Symbol
3.97581742064851	284	Gbp2b	NM_010259	14468	guanylate binding protein 2b [Source:MGI Symbol
3.97568485915867	175	Gm7694	NM_001198955	665574	predicted gene 7694 [Source:MGI Symbol
3.94263548532008	124	Kif15	NM_010620	209737	kinesin family member 15 [Source:MGI Symbol
3.93868424963582	265	Cdca3	0	14793	cell division cycle associated 3 [Source:MGI Symbol
3.9384412703219	3960	Mras	NM_008624	17532	muscle and microspikes RAS [Source:MGI Symbol
3.938189760716	44	Hdac9	0	79221	histone deacetylase 9 [Source:MGI Symbol
3.92781247289348	139	Spag5	NM_017407	54141	sperm associated antigen 5 [Source:MGI Symbol
3.90874779585637	1187	Gm15503	0	NA	predicted gene 15503 [Source:MGI Symbol
3.90295063747172	43	Uhrf1	NM_010931	18140	ubiquitin-like
3.90031250427799	334	Nrp1	0	18186	neuropilin 1 [Source:MGI Symbol
3.89706924785152	1277	Gm45191	0	NA	predicted gene 45191 [Source:MGI Symbol
3.89376300641635	29	Il12rb2	NM_001311141	16162	interleukin 12 receptor
3.88438908486312	73	Traf3ip3	0	215243	TRAF3 interacting protein 3 [Source:MGI Symbol
3.88153911635942	489	Iqgap3	NM_001033484	404710	IQ motif containing GTPase activating protein 3 [Source:MGI Symbol
3.87546445228411	6519	Nxpe5	0	381680	neurexophilin and PC-esterase domain family
3.86858699387937	3024	H2-Aa	NM_010378	14960	histocompatibility 2
3.82905917209329	3332	Pecr	NM_023523	111175	peroxisomal trans-2-enoyl-CoA reductase [Source:MGI Symbol
3.82130588385218	58	Arap3	NM_001205336	106952	ArfGAP with RhoGAP domain
3.81891175536872	315	Bub1	NM_009772	12235	BUB1
3.81570453291792	1143	Eef1a1	NM_010106	13627	eukaryotic translation elongation factor 1 alpha 1 [Source:MGI Symbol
3.81348498555775	92	Deptor	NM_145470	97998	DEP domain containing MTOR-interacting protein [Source:MGI Symbol
3.80964202280263	2847	Myom1	0	17929	myomesin 1 [Source:MGI Symbol
3.7945217606227	2227	F630028O10Rik	0	NA	RIKEN cDNA F630028O10 gene [Source:MGI Symbol
3.77788758977935	545	Nos1ap	0	70729	nitric oxide synthase 1 (neuronal) adaptor protein [Source:MGI Symbol
3.76165011904995	204	Nek2	NM_010892	18005	NIMA (never in mitosis gene a)-related expressed kinase 2 [Source:MGI Symbol
3.76092930788962	403	Arhgap15	NM_153820	76117	Rho GTPase activating protein 15 [Source:MGI Symbol
3.75162397087209	1336	Rpl10a	NM_011287	19896	ribosomal protein L10A [Source:MGI Symbol
3.74741946112182	6150	Mgmt	NM_008598	17314	O-6-methylguanine-DNA methyltransferase [Source:MGI Symbol
3.73936628179943	242	Birc5	NM_009689	11799	baculoviral IAP repeat-containing 5 [Source:MGI Symbol
3.71376726388151	3004	Hist1h3h	NM_178206	319152	histone cluster 1
3.71198904769629	278	Fancd2	NM_001033244	211651	Fanconi anemia
3.70365558628961	2260	Gm26669	0	NA	predicted gene
3.69886300385045	1734	Gm28900	0	NA	predicted gene 28900 [Source:MGI Symbol
3.68965126290553	819	Tns4	NM_172564	217169	tensin 4 [Source:MGI Symbol
3.68517068120983	190	Mki67	NM_001081117	17345	antigen identified by monoclonal antibody Ki 67 [Source:MGI Symbol
3.68389728798745	641	Rgs18	NM_022881	64214	regulator of G-protein signaling 18 [Source:MGI Symbol
3.67896573381595	74	Tle1	NM_001285529	21885	transducin-like enhancer of split 1 [Source:MGI Symbol
3.67419434383351	1005	Hist1h3i	NM_178207	319153	histone cluster 1
3.66086814874491	2787	Gm4149	0	NA	predicted pseudogene 4149 [Source:MGI Symbol
3.65711206030511	783	Cenpn	0	72155	centromere protein N [Source:MGI Symbol
3.65385253827955	255	Bub1b	NM_009773	12236	BUB1B
3.65307197424773	1967	Hist1h2bk	NM_175665	319184	histone cluster 1
3.64540042230655	299	Ttk	0	22137	Ttk protein kinase [Source:MGI Symbol
3.64317764905843	209	Nuf2	NM_023284	66977	NUF2
3.64020947008269	161	Shcbp1	NM_011369	20419	Shc SH2-domain binding protein 1 [Source:MGI Symbol
3.62832144702542	3032	Gm8430	0	NA	predicted pseudogene 8430 [Source:MGI Symbol
3.62045994419622	2546	H2-Eb1	NM_010382	14969	histocompatibility 2
3.61877130598312	923	Tbc1d4	NM_001081278	210789	TBC1 domain family
3.61629973694226	3727	Sort1	NM_001271599	20661	sortilin 1 [Source:MGI Symbol
3.60620037008929	1805	Gm9403	0	NA	predicted gene 9403 [Source:MGI Symbol
3.58653964399388	120	Lpl	NM_008509	16956	lipoprotein lipase [Source:MGI Symbol
3.58329402919982	1068	Vars	NM_011690	22321	valyl-tRNA synthetase [Source:MGI Symbol
3.56994892065685	435	Cenpi	NM_145924	102920	centromere protein I [Source:MGI Symbol
3.5687452945444	326	Fads2	NM_019699	56473	fatty acid desaturase 2 [Source:MGI Symbol
3.55847122377381	214	Map4k1	0	26411	mitogen-activated protein kinase kinase kinase kinase 1 [Source:MGI Symbol
3.55777646502257	1289	Rcc2	0	108911	regulator of chromosome condensation 2 [Source:MGI Symbol
3.51897680029852	30	Racgap1	NM_012025	26934	Rac GTPase-activating protein 1 [Source:MGI Symbol
3.51563022689232	2215	Hist1h3f	NM_013548	260423	histone cluster 1
3.48076550302378	5539	Lpar6	NM_175116	67168	lysophosphatidic acid receptor 6 [Source:MGI Symbol
3.47099851566414	5443	Ldhb	0	16832	lactate dehydrogenase B [Source:MGI Symbol
3.46830874490086	724	Sh3pxd2a	NM_008018	14218	SH3 and PX domains 2A [Source:MGI Symbol
3.46287351642939	4426	Krba1	NM_133922	77827	KRAB-A domain containing 1 [Source:MGI Symbol
3.46261919239737	541	Rpl3-ps1	0	NA	ribosomal protein L3
3.45473251624097	780	Aunip	NM_001081099	69885	aurora kinase A and ninein interacting protein [Source:MGI Symbol
3.45345454501938	1090	Psrc1	NM_019976	56742	proline/serine-rich coiled-coil 1 [Source:MGI Symbol
3.44490219592582	627	Adcy4	0	104110	adenylate cyclase 4 [Source:MGI Symbol
3.44441922375978	918	Gm33280	0	NA	predicted gene
3.44185770335201	316	Plcb4	0	18798	phospholipase C
3.43394619895817	327	Zbtb16	NM_001033324	235320	zinc finger and BTB domain containing 16 [Source:MGI Symbol
3.43339282521053	87	Mef2c	NM_025282	17260	myocyte enhancer factor 2C [Source:MGI Symbol
3.43282014415218	109	Dmpk	NM_032418	13400	dystrophia myotonica-protein kinase [Source:MGI Symbol
3.43126231669603	2924	Inpp5j	NM_172439	170835	inositol polyphosphate 5-phosphatase J [Source:MGI Symbol
3.43064023710484	100	Etl4	0	208618	enhancer trap locus 4 [Source:MGI Symbol
3.42971179839181	2137	D930048N14Rik	0	NA	RIKEN cDNA D930048N14 gene [Source:MGI Symbol
3.41635691720667	1695	Gcnt1	NM_010265	14537	glucosaminyl (N-acetyl) transferase 1
3.40939268099369	1351	Nlrp1c-ps	0	NA	NLR family
3.40791874852635	167	Arhgef10	NM_172751	234094	Rho guanine nucleotide exchange factor (GEF) 10 [Source:MGI Symbol
3.40674203500704	1374	Rps11	NM_013725	27207	ribosomal protein S11 [Source:MGI Symbol
3.40455157042367	3400	Pcyt1b	NM_211138	236899	phosphate cytidylyltransferase 1
3.39556852371987	300	Cdc6	NM_001025779	23834	cell division cycle 6 [Source:MGI Symbol
3.39525537668422	1947	Cd74	0	16149	CD74 antigen (invariant polypeptide of major histocompatibility complex
3.3932011993396	5033	Plxnc1	NM_018797	54712	plexin C1 [Source:MGI Symbol
3.38127026633968	471	Rad51ap1	0	19362	RAD51 associated protein 1 [Source:MGI Symbol
3.35880491559878	552	Abcd2	NM_011994	26874	ATP-binding cassette
3.35874264880923	2076	Rab3il1	0	74760	RAB3A interacting protein (rabin3)-like 1 [Source:MGI Symbol
3.356217325308	66	Pak1	0	18479	p21 protein (Cdc42/Rac)-activated kinase 1 [Source:MGI Symbol
3.34733468007293	615	Nanos1	NM_178421	332397	nanos homolog 1 (Drosophila) [Source:MGI Symbol
3.33700225120713	1735	AI839979	0	NA	expressed sequence AI839979 [Source:MGI Symbol
3.32793331104653	406	Zfp395	NM_199029	380912	zinc finger protein 395 [Source:MGI Symbol
3.31966120625656	16	Klhl6	NM_183390	239743	kelch-like 6 [Source:MGI Symbol
3.30190743155074	130	Mcm7	NM_008568	17220	minichromosome maintenance complex component 7 [Source:MGI Symbol
3.2891562685729	7	Mxd4	0	17122	Max dimerization protein 4 [Source:MGI Symbol
3.28414608814725	5201	Apex1	NM_009687	11792	apurinic/apyrimidinic endonuclease 1 [Source:MGI Symbol
3.27683567171791	269	Klrk1	NM_001286018	27007	killer cell lectin-like receptor subfamily K
3.27430818788389	858	Cks1b	NM_016904	54124	CDC28 protein kinase 1b [Source:MGI Symbol
3.26174304539512	4679	Gm11808	0	NA	predicted gene 11808 [Source:MGI Symbol
3.26045675298778	217	Sesn1	NM_001162908	140742	sestrin 1 [Source:MGI Symbol
3.2563753186051	2772	Rpl36a	NM_019865	19982	ribosomal protein L36A [Source:MGI Symbol
3.25364024782448	2346	Gm10275	0	NA	predicted pseudogene 10275 [Source:MGI Symbol
3.25032827582534	102	Kif23	NM_024245	71819	kinesin family member 23 [Source:MGI Symbol
3.24488598680347	2003	Cd93	NM_010740	17064	CD93 antigen [Source:MGI Symbol
3.24420553941856	5732	Nme3	NM_019730	79059	NME/NM23 nucleoside diphosphate kinase 3 [Source:MGI Symbol
3.23779306278755	9257	Rpp40	NM_145938	208366	ribonuclease P 40 subunit [Source:MGI Symbol
3.23720826851531	8150	Nme4	NM_019731	56520	NME/NM23 nucleoside diphosphate kinase 4 [Source:MGI Symbol
3.23655673386428	1311	Prune2	NM_181348	353211	prune homolog 2 (Drosophila) [Source:MGI Symbol
3.22774534661952	64	Psd3	NM_027626	234353	pleckstrin and Sec7 domain containing 3 [Source:MGI Symbol
3.22421303479016	339	Ctnnd2	NM_008729	18163	catenin (cadherin associated protein)
3.22032634638916	1107	Ank	NM_020332	11732	progressive ankylosis [Source:MGI Symbol
3.21440688321555	2848	Suclg2	NM_011507	20917	succinate-Coenzyme A ligase
3.20688058662704	329	Fat3	NM_001080814	270120	FAT atypical cadherin 3 [Source:MGI Symbol
3.20118985233479	1080	Cdk1	NM_007659	12534	cyclin-dependent kinase 1 [Source:MGI Symbol
3.19641347877301	2648	Phgdh	NM_016966	236539	3-phosphoglycerate dehydrogenase [Source:MGI Symbol
3.19466524942682	1804	Macrod1	NM_134147	107227	MACRO domain containing 1 [Source:MGI Symbol
3.19330958358575	790	Ada	NM_007398	11486	adenosine deaminase [Source:MGI Symbol
3.18900447520452	358	Dnase1l3	NM_007870	13421	deoxyribonuclease 1-like 3 [Source:MGI Symbol
3.18895977022051	2759	Clec7a	0	56644	C-type lectin domain family 7
3.1858236641431	216	Sla	NM_009192	20491	src-like adaptor [Source:MGI Symbol
3.18192388957437	575	Lmnb1	NM_010721	16906	lamin B1 [Source:MGI Symbol
3.17315815723275	1026	Rgs10	NM_026418	67865	regulator of G-protein signalling 10 [Source:MGI Symbol
3.17235569664899	439	Ocln	NM_008756	18260	occludin [Source:MGI Symbol
3.16641036953816	426	Ncapg	NM_019438	54392	non-SMC condensin I complex
3.16582601163531	1186	Rasgrp4	0	233046	RAS guanyl releasing protein 4 [Source:MGI Symbol
3.15631087208106	2550	Kmo	0	98256	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase) [Source:MGI Symbol
3.14560222649091	404	Plcl1	NM_001114663	227120	phospholipase C-like 1 [Source:MGI Symbol
3.14070043196401	5780	Ptp4a3	NM_001166389	19245	protein tyrosine phosphatase 4a3 [Source:MGI Symbol
3.13454954394081	640	Parpbp	NM_029249	75317	PARP1 binding protein [Source:MGI Symbol
3.12814817374955	108	Cdc42ep3	NM_026514	260409	CDC42 effector protein (Rho GTPase binding) 3 [Source:MGI Symbol
3.12799922767543	165	Dlgap5	NM_144553	218977	discs
3.12777584568193	6038	Fam13a	NM_153574	58909	family with sequence similarity 13
3.12424117147379	4283	Gpr176	NM_201367	381413	G protein-coupled receptor 176 [Source:MGI Symbol
3.12351964959697	5191	Tspyl4	NM_030203	72480	TSPY-like 4 [Source:MGI Symbol
3.12103262406334	4164	Rpl14-ps1	0	NA	ribosomal protein L14
